SumHora,Fecha
83021112,1/01/2016
49545895,2/01/2016
39918491,3/01/2016
41785292,4/01/2016
21438771,5/01/2016
48659587,6/01/2016
27441741,7/01/2016
52499052,8/01/2016
9675328,9/01/2016
19767194,10/01/2016
28719732,11/01/2016
28071903,12/01/2016
18276348,13/01/2016
26570972,14/01/2016
18403253,15/01/2016
16986032,16/01/2016
32289142,17/01/2016
22143216,18/01/2016
29979626,19/01/2016
107951106,20/01/2016
30879895,21/01/2016
27387065,22/01/2016
24513344,23/01/2016
24527623,24/01/2016
34737999,25/01/2016
29295753,26/01/2016
23873552,27/01/2016
29530313,28/01/2016
26134870,29/01/2016
31874486,30/01/2016
19320230,31/01/2016
47702103,1/02/2016
46128714,2/02/2016
38841855,3/02/2016
35208877,4/02/2016
29919965,5/02/2016
49298750,6/02/2016
48457329,7/02/2016
87533586,8/02/2016
50015054,9/02/2016
44908522,10/02/2016
57471185,11/02/2016
42381353,12/02/2016
28436871,13/02/2016
31888063,14/02/2016
48914880,15/02/2016
49647269,16/02/2016
141970368,17/02/2016
42866387,18/02/2016
44934174,19/02/2016
26733884,20/02/2016
25763100,21/02/2016
54231166,22/02/2016
69793641,23/02/2016
53919870,24/02/2016
65539068,25/02/2016
48281127,26/02/2016
72658392,27/02/2016
43277790,28/02/2016
41457649,29/02/2016
72947873,1/03/2016
89324485,2/03/2016
42723382,3/03/2016
122373468,4/03/2016
45894895,5/03/2016
33977921,6/03/2016
41755069,7/03/2016
80180670,8/03/2016
62989624,9/03/2016
51244889,10/03/2016
24040184,11/03/2016
17911508,12/03/2016
29736688,13/03/2016
34466092,14/03/2016
32707298,15/03/2016
50984941,16/03/2016
56413733,17/03/2016
50331779,18/03/2016
152722604,19/03/2016
162388816,20/03/2016
85102784,21/03/2016
25885642,22/03/2016
67576222,23/03/2016
27092320,24/03/2016
28008963,25/03/2016
38607424,26/03/2016
25154537,27/03/2016
44985434,28/03/2016
22055849,29/03/2016
103372764,30/03/2016
42461850,31/03/2016
168182899,1/04/2016
93746927,2/04/2016
27462800,3/04/2016
30379471,4/04/2016
73345388,5/04/2016
58028018,6/04/2016
107006784,7/04/2016
74732897,8/04/2016
71098072,9/04/2016
87328655,10/04/2016
36634670,11/04/2016
121240357,12/04/2016
54258464,13/04/2016
29903601,14/04/2016
51934220,15/04/2016
28148766,16/04/2016
46939644,17/04/2016
32141655,18/04/2016
77976255,19/04/2016
553276459,20/04/2016
81058573,21/04/2016
75757477,22/04/2016
120868171,23/04/2016
85469093,24/04/2016
67864719,25/04/2016
124980820,26/04/2016
84195489,27/04/2016
132433046,28/04/2016
49583185,29/04/2016
51540133,30/04/2016
151312931,1/05/2016
61118099,2/05/2016
66703006,3/05/2016
56463758,4/05/2016
63918588,5/05/2016
71831455,6/05/2016
46120178,7/05/2016
55194867,8/05/2016
72623017,9/05/2016
82940576,10/05/2016
62075072,11/05/2016
38527308,12/05/2016
63652313,13/05/2016
126226889,14/05/2016
56209159,15/05/2016
112554523,16/05/2016
98039608,17/05/2016
58225178,18/05/2016
175018176,19/05/2016
180832576,20/05/2016
150017124,21/05/2016
108380468,22/05/2016
75216557,23/05/2016
109201031,24/05/2016
91680891,25/05/2016
124269612,26/05/2016
92228461,27/05/2016
107983879,28/05/2016
96257953,29/05/2016
74342370,30/05/2016
77203173,31/05/2016
167408185,1/06/2016
55801385,2/06/2016
88898866,3/06/2016
38209639,4/06/2016
84885363,5/06/2016
56626344,6/06/2016
100744933,7/06/2016
86834238,8/06/2016
66745172,9/06/2016
103603006,10/06/2016
24570044,11/06/2016
26287614,12/06/2016
97711314,13/06/2016
49508497,14/06/2016
63761994,15/06/2016
36864300,16/06/2016
42207593,17/06/2016
100008161,18/06/2016
169238189,19/06/2016
64323614,20/06/2016
70443162,21/06/2016
81071207,22/06/2016
102871230,23/06/2016
83463212,24/06/2016
127193004,25/06/2016
66602023,26/06/2016
57814439,27/06/2016
30011266,28/06/2016
71072844,29/06/2016
57351232,30/06/2016
218516051,1/07/2016
69861053,2/07/2016
91445701,3/07/2016
59520249,4/07/2016
153067796,5/07/2016
90254591,6/07/2016
